direction,entry_price,entry_time,exit_price,exit_time,pnl,r_multiple,reason,risk_price,stop_loss,take_profit,window
SELL,4679.88,2026-03-20 09:20:00,4689.029337933413,2026-03-20 09:35:00,-100.0000000000043,-1.000000000000043,SL,9.14933793341294,4689.029337933413,4659.751456546492,1
SELL,4672.76,2026-03-20 11:50:00,4652.136614282613,2026-03-20 12:00:00,217.8000000000005,2.2000000000000055,TP,9.374266235176096,4682.134266235176,4652.136614282613,1
SELL,4662.39,2026-03-20 12:15:00,4638.55589998742,2026-03-20 12:55:00,222.5916000000026,2.200000000000026,TP,10.833681823899948,4673.2236818239,4638.55589998742,1
SELL,4653.96,2026-03-20 13:05:00,4665.936578651262,2026-03-20 13:10:00,-103.4039160000011,-1.0000000000000104,SL,11.976578651261535,4665.936578651262,4627.611526967225,1
SELL,4662.66,2026-03-20 13:25:00,4673.952976959045,2026-03-20 13:40:00,-102.36987684000309,-1.00000000000003,SL,11.292976959045179,4673.952976959045,4637.8154506901,1
SELL,4662.7,2026-03-20 13:55:00,4672.521477109972,2026-03-20 14:00:00,-101.34617807159688,-0.9999999999999695,SL,9.821477109972266,4672.521477109972,4641.092750358061,1
SELL,4665.44,2026-03-20 14:40:00,4675.8833447659135,2026-03-20 14:50:00,-100.3327162908858,-1.0000000000000178,SL,10.443344765913748,4675.8833447659135,4642.464641514989,1
SELL,4670.43,2026-03-20 15:05:00,4648.626523479847,2026-03-20 15:30:00,218.52465608154867,2.200000000000034,TP,9.91067114552426,4680.3406711455245,4648.626523479847,1
SELL,4653.67,2026-03-20 15:40:00,4627.794266274841,2026-03-20 15:50:00,223.3321985153428,2.200000000000034,TP,11.7616971477994,4665.431697147799,4627.794266274841,1
SELL,4580.02,2026-03-20 16:35:00,4542.615577624035,2026-03-20 17:25:00,228.24550688267504,2.199999999999982,TP,17.002010170893605,4597.022010170894,4542.615577624035,1
SELL,4567.98,2026-03-20 17:35:00,4585.296879502869,2026-03-20 18:10:00,-106.03041274277231,-1.0000000000000142,SL,17.31687950286935,4585.296879502869,4529.882865093687,1
SELL,4581.01,2026-03-20 18:45:00,4596.47001973376,2026-03-20 19:05:00,-104.97010861534507,-1.0000000000000189,SL,15.460019733759218,4596.47001973376,4546.99795658573,1
SELL,4581.49,2026-03-20 19:15:00,4548.835941895703,2026-03-20 20:20:00,228.62489656421755,2.2000000000000037,TP,14.842753683771058,4596.3327536837705,4548.835941895703,1
SELL,4554.06,2026-03-20 20:30:00,4525.964318814493,2026-03-20 20:40:00,233.65464428863334,2.2000000000000317,TP,12.770764175230543,4566.830764175231,4525.964318814493,1
SELL,4498.65,2026-03-20 21:30:00,4513.747843610323,2026-03-20 21:40:00,-108.54320293771663,-0.999999999999986,SL,15.097843610323464,4513.747843610323,4465.434744057288,1
SELL,4509.04,2026-03-20 21:50:00,4477.361248360585,2026-03-23 00:00:00,236.40709599834682,2.199999999999969,TP,14.399432563370734,4523.43943256337,4477.361248360585,1
SELL,4506.74,2026-03-23 00:45:00,4471.817813558832,2026-03-23 01:45:00,241.60805211031317,2.1999999999999944,TP,15.873721109621616,4522.613721109621,4471.817813558832,1
SELL,4464.7,2026-03-23 02:00:00,4432.044416746019,2026-03-23 02:05:00,246.9234292567409,2.200000000000002,TP,14.843446933627575,4479.543446933628,4432.044416746019,1
SELL,4439.91,2026-03-23 02:25:00,4399.735526103112,2026-03-23 02:30:00,252.35574470038617,2.1999999999999753,TP,18.261124498585765,4458.171124498585,4399.735526103112,1
SELL,4376.75,2026-03-23 03:05:00,4404.128559482848,2026-03-23 03:05:00,-117.23071412899789,-0.9999999999999917,SL,27.378559482848004,4404.128559482848,4316.5171691377345,1
SELL,4408.19,2026-03-23 03:15:00,4436.385033431639,2026-03-23 03:20:00,-116.05840698771057,-1.0000000000000144,SL,28.195033431639377,4436.385033431639,4346.160926450393,1
SELL,4412.66,2026-03-23 03:50:00,4355.385402459539,2026-03-23 04:50:00,252.77521041922876,2.1999999999999904,TP,26.0339079729367,4438.693907972936,4355.385402459539,1
SELL,4360.65,2026-03-23 05:00:00,4313.406187981474,2026-03-23 07:50:00,258.33626504845313,2.2000000000000015,TP,21.474460008420532,4382.12446000842,4313.406187981474,1
SELL,4294.52,2026-03-23 08:15:00,4260.416647269315,2026-03-23 08:25:00,264.01966287952223,2.200000000000028,TP,15.501523968493165,4310.021523968494,4260.416647269315,1
SELL,4221.24,2026-03-23 09:00:00,4168.479431326281,2026-03-23 09:05:00,269.8280954628703,2.2000000000000157,TP,23.982076669872015,4245.222076669872,4168.479431326281,1
SELL,4155.4,2026-03-23 09:35:00,4185.960578520421,2026-03-23 09:35:00,-125.34741525593275,-1.000000000000002,SL,30.560578520421526,4185.960578520421,4088.166727255072,1
SELL,4198.41,2026-03-23 09:55:00,4230.594578642278,2026-03-23 10:05:00,-124.09394110337365,-1.0000000000000038,SL,32.18457864227809,4230.594578642278,4127.603926986988,1
SELL,4240.61,2026-03-23 11:40:00,4266.864682606933,2026-03-23 12:10:00,-122.85300169233761,-0.9999999999999851,SL,26.254682606933265,4266.864682606933,4182.849698264747,1
SELL,4246.48,2026-03-23 12:40:00,4266.713868457373,2026-03-23 12:50:00,-121.6244716754184,-1.0000000000000193,SL,20.233868457372928,4266.713868457373,4201.9654893937795,1
SELL,4398.96,2026-03-24 00:25:00,4412.7418325405915,2026-03-24 00:25:00,-120.40822695866576,-1.0000000000000324,SL,13.781832540591049,4412.7418325405915,4368.6399684107,1
SELL,4365.89,2026-03-24 02:50:00,4384.188107128044,2026-03-24 02:50:00,-119.20414468907485,-0.9999999999999969,SL,18.298107128043796,4384.188107128044,4325.634164318304,1
SELL,4363.28,2026-03-24 03:00:00,4321.9682641315985,2026-03-24 03:40:00,259.6266271328041,2.199999999999985,TP,18.778061758364323,4382.058061758364,4321.9682641315985,1
SELL,4314.51,2026-03-24 03:50:00,4334.147579592817,2026-03-24 04:00:00,-120.60836951351293,-1.0000000000000033,SL,19.63757959281695,4334.147579592817,4271.307324895803,1
SELL,4322.19,2026-03-24 04:10:00,4340.883256995794,2026-03-24 04:20:00,-119.40228581837569,-0.9999999999999858,SL,18.693256995794666,4340.883256995794,4281.064834609251,1
SELL,4351.84,2026-03-24 05:05:00,4369.737317739005,2026-03-24 07:40:00,-118.20826296019295,-0.9999999999999942,SL,17.897317739005405,4369.737317739005,4312.465900974188,1
SELL,4383.04,2026-03-24 14:55:00,4398.971859399336,2026-03-24 16:10:00,-117.02618033059268,-1.0000000000000084,SL,15.9318593993356,4398.971859399336,4347.989909321462,1
SELL,4378.17,2026-03-24 19:45:00,4389.425737962366,2026-03-24 19:55:00,-115.85591852728453,-0.9999999999999895,SL,11.255737962365975,4389.425737962366,4353.407376482795,1
SELL,4389.56,2026-03-24 20:05:00,4400.6218734887325,2026-03-24 20:20:00,-114.6973593420116,-0.9999999999999885,SL,11.061873488732218,4400.6218734887325,4365.223878324789,1
SELL,4399.57,2026-03-24 20:45:00,4411.1875947038425,2026-03-24 22:20:00,-113.55038574859502,-1.0000000000000195,SL,11.617594703842542,4411.1875947038425,4374.011291651546,1
SELL,4545.3,2026-03-25 16:05:00,4557.197841939312,2026-03-25 16:15:00,-112.41488189110311,-0.9999999999999667,SL,11.897841939311943,4557.197841939312,4519.124747733514,1
SELL,4548.29,2026-03-25 16:25:00,4559.782463130693,2026-03-25 16:25:00,-111.29073307220001,-1.0000000000000377,SL,11.492463130692634,4559.782463130693,4523.006581112476,1
SELL,4555.03,2026-03-25 18:30:00,4564.099966704285,2026-03-25 20:00:00,-110.17782574147454,-1.0000000000000064,SL,9.069966704285376,4564.099966704285,4535.076073250572,1
SELL,4551.59,2026-03-25 20:10:00,4531.399275887614,2026-03-25 20:55:00,239.96730446492512,2.1999999999999558,TP,9.177601869266688,4560.767601869266,4531.399275887614,1
SELL,4533.19,2026-03-25 21:05:00,4515.728261080266,2026-03-25 21:05:00,245.24658516315498,2.19999999999997,TP,7.937154054424545,4541.127154054424,4515.728261080266,1
SELL,4513.81,2026-03-25 21:25:00,4524.562484302073,2026-03-25 21:40:00,-113.92818638034316,-1.0000000000000289,SL,10.752484302072533,4524.562484302073,4490.154534535441,1
SELL,4515.23,2026-03-25 21:50:00,4525.886252015472,2026-03-25 21:55:00,-112.78890451653405,-0.9999999999999787,SL,10.656252015472319,4525.886252015472,4491.786245565961,1
SELL,4527.64,2026-03-25 22:10:00,4503.944400291791,2026-03-25 22:35:00,245.654234037013,2.1999999999999695,TP,10.770727140095403,4538.410727140095,4503.944400291791,1
SELL,4504.38,2026-03-25 22:45:00,4514.327855920743,2026-03-26 00:00:00,-114.11755781174156,-1.000000000000003,SL,9.947855920742738,4514.327855920743,4482.494716974366,1
SELL,4509.19,2026-03-26 00:10:00,4519.771988956201,2026-03-26 00:30:00,-112.97638223362193,-0.9999999999999833,SL,10.581988956201888,4519.771988956201,4485.909624296355,1
SELL,4517.99,2026-03-26 00:50:00,4494.305871352206,2026-03-26 01:35:00,246.06256050482978,2.199999999999974,TP,10.765513021724601,4528.755513021724,4494.305871352206,1
SELL,4496.77,2026-03-26 01:45:00,4507.125871255115,2026-03-26 02:00:00,-114.30724401633229,-0.9999999999999686,SL,10.35587125511516,4507.125871255115,4473.987083238747,1
SELL,4524.67,2026-03-26 03:50:00,4533.473050158743,2026-03-26 03:50:00,-113.16417157617595,-1.0000000000000298,SL,8.803050158742472,4533.473050158743,4505.303289650767,1
SELL,4523.43,2026-03-26 04:35:00,4505.671901339807,2026-03-26 04:55:00,246.4715656928997,2.1999999999999638,TP,8.071863027360749,4531.501863027361,4505.671901339807,1
SELL,4504.45,2026-03-26 05:05:00,4512.440336100024,2026-03-26 05:15:00,-114.49724551734109,-1.0000000000000113,SL,7.9903361000241615,4512.440336100024,4486.8712605799465,1
SELL,4504.18,2026-03-26 05:25:00,4512.0541656953565,2026-03-26 05:30:00,-113.35227306217193,-1.0000000000000488,SL,7.874165695355784,4512.0541656953565,4486.856835470217,1
SELL,4515.51,2026-03-26 05:45:00,4522.778705394238,2026-03-26 06:45:00,-112.21875033154406,-0.9999999999999944,SL,7.268705394238208,4522.778705394238,4499.518848132676,1
SELL,4511.59,2026-03-26 07:10:00,4500.69366229777,2026-03-26 07:25:00,244.41243822210183,2.199999999999977,TP,4.952880773740999,4516.542880773741,4500.69366229777,1
SELL,4443.33,2026-03-26 08:40:00,4455.11535734756,2026-03-26 08:45:00,-113.54068721044713,-0.9999999999999725,SL,11.785357347560746,4455.11535734756,4417.402213835367,1
SELL,4454.06,2026-03-26 08:55:00,4428.8207725205175,2026-03-26 10:25:00,247.29161674436412,2.20000000000003,TP,11.472376127037528,4465.532376127038,4428.8207725205175,1
SELL,4437.91,2026-03-26 10:35:00,4413.06419523459,2026-03-26 10:40:00,252.7320323127348,2.1999999999999833,TP,11.293547620640728,4449.20354762064,4413.06419523459,1
SELL,4424.1,2026-03-26 10:50:00,4436.413707770608,2026-03-26 10:50:00,-117.40551682891768,-1.0000000000000075,SL,12.31370777060774,4436.413707770608,4397.009842904663,1
SELL,4427.66,2026-03-26 11:00:00,4440.051309251187,2026-03-26 12:20:00,-116.23146166063009,-1.0000000000000215,SL,12.391309251187254,4440.051309251187,4400.399119647388,1
SELL,4431.03,2026-03-26 12:40:00,4441.256572872973,2026-03-26 12:50:00,-115.06914704402632,-1.0000000000000437,SL,10.226572872973072,4441.256572872973,4408.531539679459,1
SELL,4426.15,2026-03-26 13:50:00,4436.154001408604,2026-03-26 14:05:00,-113.91845557357951,-0.9999999999999869,SL,10.004001408604513,4436.154001408604,4404.14119690107,1
SELL,4435.92,2026-03-26 14:20:00,4446.409276662608,2026-03-26 15:20:00,-112.77927101784888,-1.0000000000000324,SL,10.489276662607722,4446.409276662608,4412.843591342263,1
SELL,4434.43,2026-03-26 15:40:00,4444.899098012425,2026-03-26 15:40:00,-111.651478307662,-0.9999999999999576,SL,10.469098012425537,4444.899098012425,4411.397984372664,1
SELL,4440.0,2026-03-26 17:45:00,4413.712818701748,2026-03-26 18:20:00,243.176919754097,2.1999999999999886,TP,11.948718771932837,4451.948718771933,4413.712818701748,1
SELL,4391.1,2026-03-26 19:05:00,4362.046976878037,2026-03-26 21:55:00,248.52681198868896,2.2000000000000055,TP,13.205919600892528,4404.305919600893,4362.046976878037,1
SELL,4375.46,2026-03-26 22:55:00,4390.488636319816,2026-03-27 00:05:00,-115.45200084201802,-1.0000000000000007,SL,15.028636319815623,4390.488636319816,4342.3970000964055,1
SELL,4391.64,2026-03-27 01:10:00,4402.921819717468,2026-03-27 01:35:00,-114.29748083359699,-0.9999999999999931,SL,11.28181971746752,4402.921819717468,4366.819996621572,1
SELL,4397.16,2026-03-27 01:50:00,4406.775193148202,2026-03-27 02:00:00,-113.15450602526698,-1.0000000000000457,SL,9.615193148201358,4406.775193148202,4376.006575073957,1
SELL,4396.86,2026-03-27 02:20:00,4378.282684487351,2026-03-27 02:55:00,246.45051412302124,2.20000000000001,TP,8.44423432393131,4405.304234323931,4378.282684487351,1
SELL,4387.92,2026-03-27 03:05:00,4396.089923686551,2026-03-27 03:10:00,-114.48746610624454,-1.0000000000000453,SL,8.169923686550277,4396.089923686551,4369.94616788959,1
SELL,4391.27,2026-03-27 03:20:00,4399.204388607635,2026-03-27 03:20:00,-113.34259144517311,-0.9999999999999662,SL,7.934388607635169,4399.204388607635,4373.814345063203,1
SELL,4429.39,2026-03-27 11:15:00,4436.676751322301,2026-03-27 11:30:00,-112.2091655307304,-1.0000000000000464,SL,7.286751322300578,4436.676751322301,4413.359147090939,1
SELL,4433.42,2026-03-27 11:40:00,4418.701381717506,2026-03-27 12:40:00,244.39156252592298,2.2000000000000326,TP,6.690281037497351,4440.110281037498,4418.701381717506,1
SELL,4417.36,2026-03-27 12:55:00,4423.597300689024,2026-03-27 13:45:00,-113.53098950068535,-1.0000000000000724,SL,6.237300689024326,4423.597300689024,4403.637938484146,1
SELL,4419.65,2026-03-27 14:00:00,4426.174811303073,2026-03-27 14:10:00,-112.39567960566897,-0.9999999999999883,SL,6.524811303073042,4426.174811303073,4405.295415133239,1
SELL,4427.37,2026-03-27 15:25:00,4435.393466690327,2026-03-27 15:45:00,-111.27172280961483,-1.000000000000011,SL,8.023466690326952,4435.393466690327,4409.718373281281,1
SELL,4426.3,2026-03-27 15:55:00,4435.4658429831625,2026-03-27 16:00:00,-110.15900558151291,-0.9999999999999587,SL,9.16584298316267,4435.4658429831625,4406.135145437042,1
SELL,4475.32,2026-03-30 02:20:00,4449.567532704932,2026-03-30 02:35:00,239.92631415654145,2.1999999999999664,TP,11.705666952303641,4487.025666952303,4449.567532704932,1
SELL,4445.14,2026-03-30 03:20:00,4457.719577176535,2026-03-30 03:20:00,-111.45667866726858,-1.0000000000000075,SL,12.579577176534164,4457.719577176535,4417.464930211625,1
SELL,4449.33,2026-03-30 03:30:00,4463.039584402216,2026-03-30 04:20:00,-110.34211188059771,-1.0000000000000242,SL,13.709584402215693,4463.039584402216,4419.168914315125,1
SELL,4448.53,2026-03-30 04:30:00,4461.05432124905,2026-03-30 04:30:00,-109.23869076178569,-0.9999999999999691,SL,12.524321249050832,4461.05432124905,4420.9764932520875,1
SELL,4532.45,2026-03-30 17:50:00,4543.8605536201585,2026-03-30 18:35:00,-108.14630385416811,-0.9999999999999714,SL,11.410553620159007,4543.8605536201585,4507.34678203565,1
SELL,4523.34,2026-03-30 20:20:00,4505.851046724781,2026-03-30 21:55:00,235.54264979438946,2.200000000000042,TP,7.9495242160087125,4531.289524216008,4505.851046724781,1
SELL,4501.54,2026-03-30 22:30:00,4508.549030876436,2026-03-30 22:30:00,-109.42026731357932,-1.000000000000054,SL,7.009030876435268,4508.549030876436,4486.120132071843,1
SELL,4505.22,2026-03-30 22:40:00,4512.721205194478,2026-03-30 22:55:00,-108.32606464044234,-1.0000000000000433,SL,7.501205194477409,4512.721205194478,4488.71734857215,1
SELL,4509.08,2026-03-30 23:10:00,4516.181709407266,2026-03-31 01:00:00,-107.24280399402747,-0.9999999999999464,SL,7.101709407266225,4516.181709407266,4493.456239304014,1
SELL,4508.19,2026-03-31 01:15:00,4514.356238488851,2026-03-31 01:25:00,-106.17037595408563,-0.999999999999931,SL,6.1662384888518025,4514.356238488851,4494.624275324526,1
SELL,4508.62,2026-03-31 01:45:00,4514.578795043165,2026-03-31 01:55:00,-105.10867219454418,-0.9999999999999247,SL,5.958795043165531,4514.578795043165,4495.510650905036,1
SELL,4502.55,2026-03-31 02:05:00,4508.526726239792,2026-03-31 02:20:00,-104.05758547260315,-0.9999999999999664,SL,5.976726239791988,4508.526726239792,4489.401202272458,1
SELL,4505.38,2026-03-31 02:30:00,4511.6351496879115,2026-03-31 02:35:00,-103.01700961788556,-1.000000000000048,SL,6.255149687911098,4511.6351496879115,4491.618670686596,1
SELL,4496.21,2026-03-31 03:20:00,4504.895025400505,2026-03-31 03:25:00,-101.98683952170511,-1.0000000000000329,SL,8.68502540050457,4504.895025400505,4477.10294411889,1
SELL,4541.03,2026-03-31 13:45:00,4548.241387098821,2026-03-31 13:50:00,-100.96697112648842,-1.0000000000000369,SL,7.2113870988211675,4548.241387098821,4525.164948382593,1
SELL,4547.67,2026-03-31 14:00:00,4554.7058627755505,2026-03-31 14:10:00,-99.95730141522169,-1.0000000000000189,SL,7.035862775550281,4554.7058627755505,4532.19110189379,1
SELL,4698.14,2026-04-02 05:25:00,4663.114103237431,2026-04-02 05:35:00,217.70700248234678,2.19999999999998,TP,15.920862164804493,4714.060862164805,4663.114103237431,1
SELL,4675.83,2026-04-02 05:45:00,4692.398410669746,2026-04-02 06:15:00,-101.13479842588987,-0.9999999999999882,SL,16.568410669746495,4692.398410669746,4639.379496526558,1
SELL,4691.48,2026-04-02 06:30:00,4663.283058173906,2026-04-02 07:20:00,220.27159097159276,2.20000000000002,TP,12.816791739133192,4704.2967917391325,4663.283058173906,1
